county,reporting_date,year,month,ipc_phase,ipc_class,class_name,share_crisis_plus,mean_phase,classified_share,spi1_recent,spi3_recent,spi6_recent,spi3_prior,vci_recent,vci_prior1,vci_prior2,vci_trend,season,mean_annual_rain_mm,previous_class,months_since_previous,lead_months,split,is_study_county
Baringo,2011-01-01,2011,1,2,2,Stressed,0.0,1.790583870074513,0.9999705465033718,-0.5274200147932852,-0.6316253075625224,0.1869363724614497,0.7809368130921256,15.445376352678272,26.590488152901933,56.78794666764039,-41.34257031496212,dry_jf,407.6410955536569,,,1,train,True
Bomet,2011-01-01,2011,1,1,1,Minimal,0.0,1.0015262760758556,1.000004320111171,0.1247246315716547,-0.053664413217157,-0.0454155507269316,0.9239639720324904,79.10243818871854,86.30752887172454,64.35396715288185,14.748471035836687,dry_jf,705.0356352221398,,,1,train,False
Bungoma,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.9970604800760164,1.003899499039633,0.6014059998835364,0.476747282792955,0.745901574417057,51.78798421150245,55.486858476892365,33.8685795274586,17.919404684043847,dry_jf,684.143518918554,,,1,train,False
Busia,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.9131560514084084,0.3329422480709803,-0.1803857994819446,-0.2825707995527169,0.522773507180693,50.53492916525812,29.45113976632189,61.56808587529368,-11.033156710035563,dry_jf,504.89251568895395,,,1,train,False
Elgeyo-Marakwet,2011-01-01,2011,1,2,2,Stressed,0.0,1.9977073732362127,0.9999804467311296,-0.245387388739413,-0.2228282580821004,0.3570114185624796,0.9750790238808632,30.418500048716368,49.28406502939309,67.155158995633,-36.736658946916634,dry_jf,424.00498148048365,,,1,train,False
Embu,2011-01-01,2011,1,2,2,Stressed,0.0,1.744466795362324,0.9999282887249222,-1.0594871621650437,-0.7514744530963843,-0.7909878132295151,-0.2201359570630738,7.530303485576694,55.14450137369356,34.67960507140786,-27.149301585831168,dry_jf,401.4457023614595,,,1,train,False
Garissa,2011-01-01,2011,1,2,2,Stressed,0.0043636483069202,2.0043636483069203,0.9995464608855014,-0.774691473677251,-1.0229898534791575,-0.9491040022169916,-0.9302539454332002,4.377253081234988,6.735363093476874,11.586283332914704,-7.209030251679716,dry_jf,210.6771075185111,,,1,train,False
Homa Bay,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.6683932894055674,0.1017522286839717,-0.431427106247148,-0.2719275132614286,0.7790415611293579,48.68615289732718,38.30681293038428,47.22843513286963,1.4577177644575556,dry_jf,658.3122810444571,,,1,train,False
Isiolo,2011-01-01,2011,1,3,3,Crisis or worse,0.9951347110504184,2.99506312549807,0.999993878242038,-1.3400874629889037,-1.0178126943929362,-1.0147016510066151,-0.2882735400517376,0.0,0.0,8.166634271548432,-8.166634271548432,dry_jf,121.15801476654195,,,1,train,False
Kajiado,2011-01-01,2011,1,2,2,Stressed,0.0,1.9999952052532517,0.9927236162577764,-0.1192140785977106,-0.5269714820615099,-0.5573243265030353,-0.4030597031447024,41.72543115710303,33.1482411194703,22.669141070842137,19.056290086260894,dry_jf,244.0590119973267,,,1,train,False
Kakamega,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.9999218544222171,0.8623055344042452,0.370940494761956,0.5301845924027281,0.9920170444550044,52.18076745514424,42.24785643945221,27.66794316215601,24.51282429298823,dry_jf,521.962946970816,,,1,train,False
Kericho,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.9999310645743662,0.4306042230285341,-0.1196578872834566,0.2584158351559868,1.1535745946692673,61.62025264468058,74.65411528707456,75.08178089964072,-13.461528254960136,dry_jf,577.6437811642602,,,1,train,False
Kiambu,2011-01-01,2011,1,1,1,Minimal,0.0,1.0032990281440006,0.9999994899103124,-0.1967936249583554,-0.348946235075832,-0.4119891764843014,0.5392111182783287,54.33652303965811,49.865947800645536,62.53585285973029,-8.19932982007218,dry_jf,365.1581675938478,,,1,train,False
Kilifi,2011-01-01,2011,1,2,2,Stressed,0.0,1.9952219173874604,0.994241227115709,-0.9826456353007238,-0.7292444016666136,-0.9297483270294608,-1.1917623006399674,10.314419531250753,47.10173825570551,19.92115370851468,-9.606734177263927,dry_jf,485.9236308469297,,,1,train,False
Kirinyaga,2011-01-01,2011,1,1,1,Minimal,0.0,1.005365616171106,0.9994983861098944,-0.9606524749038696,-0.8203838823426258,-0.8775101967236125,-0.5030378077229556,27.949770636903843,36.190519207236456,0.0,27.949770636903843,dry_jf,523.427425427593,,,1,train,False
Kisii,2011-01-01,2011,1,1,1,Minimal,0.0,1.0006370727546363,1.0000313807396553,0.2475746857741532,-0.1580460154493356,-0.2986107170212341,0.3384383353139915,59.30404181496537,81.17805739012341,62.52054592786842,-3.2165041129030456,dry_jf,771.8724273402603,,,1,train,False
Kisumu,2011-01-01,2011,1,1,1,Minimal,0.0,1.0,0.7827415653954494,0.6363129745445453,-0.1580495498330428,0.0220885775636872,0.6723588729691291,42.43241262019741,28.001041646939957,58.5126579123102,-16.080245292112792,dry_jf,650.4965825795291,,,1,train,False
Kitui,2011-01-01,2011,1,2,2,Stressed,0.0,2.0,0.9999941226566244,-0.7758662379706819,-0.8643985618845559,-0.8654943082232606,-0.9515092383109124,16.59536479032594,37.06255512535216,18.60265229902419,-2.007287508698248,dry_jf,350.0498777837523,,,1,train,False
Kwale,2011-01-01,2011,1,2,2,Stressed,0.0,2.0,0.9912685114672192,-0.8912143820197654,-0.789551630288411,-0.9172010298896708,-0.895063171778317,25.37861559377979,48.23087885327441,20.948871381340144,4.4297442124396476,dry_jf,461.4118591660762,,,1,train,False
Laikipia,2011-01-01,2011,1,2,2,Stressed,0.0037013978983079,2.000789708633966,1.0000037896120522,-1.4140312710622502,-1.080024491488861,-0.8156221427933829,0.2022122561999626,11.583871495999947,23.22013812806896,71.83961457036756,-60.255743074367615,dry_jf,378.6133408439104,,,1,train,False
Lamu,2011-01-01,2011,1,2,2,Stressed,0.0,2.0,0.977356380818854,-0.9095365019420896,-0.8625345536471984,-0.5710484468050648,-0.5797915461111368,22.210905796286088,39.61725372578055,29.26760279776606,-7.0566970014799715,dry_jf,394.8891092289726,,,1,train,False
Machakos,2011-01-01,2011,1,2,2,Stressed,0.0,1.9983432164547923,0.9999707917323208,-0.5973096008371469,-0.6766702072176101,-0.716256115913672,-0.3318315290749608,47.94052894020063,47.3821986946667,25.105783432658804,22.834745507541825,dry_jf,347.0698296320569,,,1,train,False
Makueni,2011-01-01,2011,1,2,2,Stressed,0.0,2.0,0.9999634120593888,-0.3752776482357787,-0.4645047746376276,-0.4967660768393528,-0.9038200896894862,65.5666981279621,56.20840295454381,23.144793566509428,42.42190456145267,dry_jf,210.84898907247097,,,1,train,False
Mandera,2011-01-01,2011,1,3,3,Crisis or worse,1.0,3.0,0.9935598900285671,-1.2292650784432064,-0.9659155324751424,-0.9802079267187238,-0.4348837528299981,1.4397343472866078,7.942574696726193,15.702904092751291,-14.263169745464683,dry_jf,147.72597818452132,,,1,train,False
Marsabit,2011-01-01,2011,1,3,3,Crisis or worse,0.8023274179471376,2.802327417947138,0.9994535327492756,-1.274808820176874,-1.1515094270677562,-1.1428641923818108,-0.4510859456170091,0.0,0.3649006933278508,4.089418039894932,-4.089418039894932,dry_jf,183.11284628508548,,,1,train,True
Meru,2011-01-01,2011,1,2,2,Stressed,0.0052724504222519,1.5838873659897472,0.9999854823459616,-1.4576030774607398,-1.1233966062564271,-1.1007052731943754,-0.5375938607430261,0.0,22.72249216672272,23.004063487022727,-23.004063487022727,dry_jf,469.95952152110806,,,1,train,False
Migori,2011-01-01,2011,1,1,1,Minimal,0.0,1.0016690731682976,0.8117135191457311,-0.2720323655453992,-0.3327165661951883,-0.4028655859759575,0.87467443934203,43.87284623581385,39.736370370013525,60.41269460756804,-16.53984837175419,dry_jf,460.4970135975702,,,1,train,False
Mombasa,2011-01-01,2011,1,1,1,Minimal,0.0,1.341609487598849,0.9455242931112856,-0.7999798217952915,-1.004515123548522,-1.2859870771926305,-1.3875608349001654,35.18204161461724,49.24817804639831,30.94900356755755,4.23303804705969,dry_jf,339.4545465241538,,,1,train,False
Murang'a,2011-01-01,2011,1,1,1,Minimal,0.0,1.0013294323786135,0.9999691888704983,-0.3310202005030888,-0.5910415352284347,-0.6598503554778344,-0.1836733035213482,56.13622277738848,70.83823483060745,43.61801834196498,12.518204435423506,dry_jf,600.9606534616394,,,1,train,False
