county,year,month,ndvi,n_composites,date
Baringo,2000,12,0.41217977987421345,1,2000-12-01
Baringo,2001,1,0.3904184433962262,2,2001-01-01
Baringo,2001,2,0.3697563679245277,2,2001-02-01
Baringo,2001,3,0.4057905031446539,2,2001-03-01
Baringo,2001,4,0.518354088050314,2,2001-04-01
Baringo,2001,5,0.5188845754716975,2,2001-05-01
Baringo,2001,6,0.4157968238993709,2,2001-06-01
Baringo,2001,7,0.5180173427672957,2,2001-07-01
Baringo,2001,8,0.540412562893082,2,2001-08-01
Baringo,2001,9,0.464057955974843,2,2001-09-01
Baringo,2001,10,0.40048949685534624,1,2001-10-01
Baringo,2001,11,0.5299528431718764,2,2001-11-01
Baringo,2001,12,0.49542427672956024,2,2001-12-01
Baringo,2002,1,0.4152190723270439,2,2002-01-01
Baringo,2002,2,0.3681833490566038,2,2002-02-01
Baringo,2002,3,0.4266104017003695,2,2002-03-01
Baringo,2002,4,0.45256592767295567,2,2002-04-01
Baringo,2002,5,0.5500629402515718,2,2002-05-01
Baringo,2002,6,0.5247809748427659,2,2002-06-01
Baringo,2002,7,0.45473985062893074,4,2002-07-01
Baringo,2002,8,0.4124360849056604,4,2002-08-01
Baringo,2002,9,0.3615583176100629,4,2002-09-01
Baringo,2002,10,0.36204249475890976,3,2002-10-01
Baringo,2002,11,0.4016056682389932,4,2002-11-01
Baringo,2002,12,0.43402822327043966,4,2002-12-01
Baringo,2003,1,0.48183562893081794,4,2003-01-01
Baringo,2003,2,0.37786317610062903,4,2003-02-01
Baringo,2003,3,0.3448908097484279,4,2003-03-01
Baringo,2003,4,0.41428884696016777,3,2003-04-01
Baringo,2003,5,0.5877437264150943,4,2003-05-01
Baringo,2003,6,0.6007145911949681,4,2003-06-01
Baringo,2003,7,0.5209511163522014,4,2003-07-01
Baringo,2003,8,0.5481691352201259,4,2003-08-01
Baringo,2003,9,0.5302703900970055,4,2003-09-01
Baringo,2003,10,0.43365636993012585,3,2003-10-01
Baringo,2003,11,0.42310354949888745,4,2003-11-01
